
BlockPath,BlockType,ParamContext,ParamName,ParamValue
ROS2_simulink_UE5_0821/Subsystem/Vessel Platform/Input Processing/Payload Mass (kg),InportShadow,Block,BlockType,InportShadow
ROS2_simulink_UE5_0821/Subsystem/Vessel Platform/Input Processing/Payload Mass (kg),InportShadow,,Position,"[110, 758, 140, 772]"
ROS2_simulink_UE5_0821/Subsystem/Vessel Platform/Input Processing/Payload Mass (kg),InportShadow,,ZOrder,552
ROS2_simulink_UE5_0821/Subsystem/Vessel Platform/Input Processing/Payload Mass (kg),InportShadow,PortProperties/Port[out:1],Name,mp
ROS2_simulink_UE5_0821/Subsystem/Vessel Platform/Input Processing/Payload Mass (kg),InportShadow,PortProperties/Port[out:1],PropagatedSignals,Payload mass (kg)
ROS2_simulink_UE5_0821/Subsystem/Vessel Platform/Input Processing/Payload Mass (kg),InportShadow,Block,BlockType,InportShadow
ROS2_simulink_UE5_0821/Subsystem/Vessel Platform/Input Processing/Payload Mass (kg),InportShadow,,Position,"[110, 423, 140, 437]"
ROS2_simulink_UE5_0821/Subsystem/Vessel Platform/Input Processing/Payload Mass (kg),InportShadow,,ZOrder,340
ROS2_simulink_UE5_0821/Subsystem/Vessel Platform/Input Processing/Payload Mass (kg),InportShadow,PortProperties/Port[out:1],Name,mp
ROS2_simulink_UE5_0821/Subsystem/Vessel Platform/Input Processing/Payload Mass (kg),InportShadow,PortProperties/Port[out:1],PropagatedSignals,Payload mass (kg)
ROS2_simulink_UE5_0821/Subsystem/Vessel Platform/Input Processing/mass (kg),Constant,Block,BlockType,Constant
ROS2_simulink_UE5_0821/Subsystem/Vessel Platform/Input Processing/mass (kg),Constant,,Position,"[870, 597, 915, 613]"
ROS2_simulink_UE5_0821/Subsystem/Vessel Platform/Input Processing/mass (kg),Constant,,ZOrder,547
ROS2_simulink_UE5_0821/Subsystem/Vessel Platform/Input Processing/mass (kg),Constant,,Value,m
ROS2_simulink_UE5_0821/Subsystem/Vessel Platform/Input Processing/mass (kg),Constant,PortProperties/Port[out:1],Name,m
ROS2_simulink_UE5_0821/Subsystem/Vessel Platform/Input Processing/Add5,Sum,Block,BlockType,Sum
ROS2_simulink_UE5_0821/Subsystem/Vessel Platform/Input Processing/Add5,Sum,,Position,"[870, 427, 890, 503]"
ROS2_simulink_UE5_0821/Subsystem/Vessel Platform/Input Processing/Add5,Sum,,ZOrder,429
ROS2_simulink_UE5_0821/Subsystem/Vessel Platform/Input Processing/Add5,Sum,,IconShape,rectangular
ROS2_simulink_UE5_0821/Subsystem/Vessel Platform/Input Processing/Add5,Sum,PortProperties/Port[out:1],Name,M in CO
ROS2_simulink_UE5_0821/Subsystem/Vessel Platform/Input Processing/Added Mass (Hydrodynamics),SubSystem,Block,BlockType,SubSystem
ROS2_simulink_UE5_0821/Subsystem/Vessel Platform/Input Processing/Added Mass (Hydrodynamics),SubSystem,,Position,"[470, 685, 765, 725]"
ROS2_simulink_UE5_0821/Subsystem/Vessel Platform/Input Processing/Added Mass (Hydrodynamics),SubSystem,,ZOrder,456
ROS2_simulink_UE5_0821/Subsystem/Vessel Platform/Input Processing/Added Mass (Hydrodynamics),SubSystem,,ContentPreviewEnabled,on
ROS2_simulink_UE5_0821/Subsystem/Vessel Platform/Input Processing/Added Mass (Hydrodynamics),SubSystem,PortProperties/Port[out:1],Name,MA
ROS2_simulink_UE5_0821/Subsystem/Vessel Platform/Input Processing/Added Mass (Hydrodynamics)/Inertial Matrix (hull and payload) in CO,Inport,Block,BlockType,Inport
ROS2_simulink_UE5_0821/Subsystem/Vessel Platform/Input Processing/Added Mass (Hydrodynamics)/Inertial Matrix (hull and payload) in CO,Inport,,Position,"[-210, 138, -180, 152]"
ROS2_simulink_UE5_0821/Subsystem/Vessel Platform/Input Processing/Added Mass (Hydrodynamics)/Inertial Matrix (hull and payload) in CO,Inport,,ZOrder,2
ROS2_simulink_UE5_0821/Subsystem/Vessel Platform/Input Processing/Added Mass (Hydrodynamics)/Inertial Matrix (hull and payload) in CO,Inport,PortProperties/Port[out:1],Name,Ig
ROS2_simulink_UE5_0821/Subsystem/Vessel Platform/Input Processing/Added Mass (Hydrodynamics)/Inertial Matrix (hull and payload) in CO,Inport,PortProperties/Port[out:1],PropagatedSignals,Ig
ROS2_simulink_UE5_0821/Subsystem/Vessel Platform/Input Processing/Added Mass (Hydrodynamics)/Create Diagonal Matrix,Reference,Block,BlockType,Reference
ROS2_simulink_UE5_0821/Subsystem/Vessel Platform/Input Processing/Added Mass (Hydrodynamics)/Create Diagonal Matrix,Reference,,Position,"[140, 99, 230, 151]"
ROS2_simulink_UE5_0821/Subsystem/Vessel Platform/Input Processing/Added Mass (Hydrodynamics)/Create Diagonal Matrix,Reference,,ZOrder,360
ROS2_simulink_UE5_0821/Subsystem/Vessel Platform/Input Processing/Added Mass (Hydrodynamics)/Create Diagonal Matrix,Reference,,LibraryVersion,9.1
ROS2_simulink_UE5_0821/Subsystem/Vessel Platform/Input Processing/Added Mass (Hydrodynamics)/Create Diagonal Matrix,Reference,,SourceBlock,"matrix_library/Create Diagonal
Matrix"
ROS2_simulink_UE5_0821/Subsystem/Vessel Platform/Input Processing/Added Mass (Hydrodynamics)/Create Diagonal Matrix,Reference,,SourceType,Create Diagonal Matrix
ROS2_simulink_UE5_0821/Subsystem/Vessel Platform/Input Processing/Added Mass (Hydrodynamics)/Create Diagonal Matrix,Reference,InstanceData,MultithreadedSim,auto
ROS2_simulink_UE5_0821/Subsystem/Vessel Platform/Input Processing/Added Mass (Hydrodynamics)/Gain,Gain,Block,BlockType,Gain
ROS2_simulink_UE5_0821/Subsystem/Vessel Platform/Input Processing/Added Mass (Hydrodynamics)/Gain,Gain,,Position,"[5, 10, 50, 40]"
ROS2_simulink_UE5_0821/Subsystem/Vessel Platform/Input Processing/Added Mass (Hydrodynamics)/Gain,Gain,,ZOrder,11
ROS2_simulink_UE5_0821/Subsystem/Vessel Platform/Input Processing/Added Mass (Hydrodynamics)/Gain,Gain,,Gain,-0.1
ROS2_simulink_UE5_0821/Subsystem/Vessel Platform/Input Processing/Added Mass (Hydrodynamics)/Gain,Gain,PortProperties/Port[out:1],Name,Xudot
ROS2_simulink_UE5_0821/Subsystem/Vessel Platform/Input Processing/Added Mass (Hydrodynamics)/Gain1,Gain,Block,BlockType,Gain
ROS2_simulink_UE5_0821/Subsystem/Vessel Platform/Input Processing/Added Mass (Hydrodynamics)/Gain1,Gain,,Position,"[265, 110, 295, 140]"
ROS2_simulink_UE5_0821/Subsystem/Vessel Platform/Input Processing/Added Mass (Hydrodynamics)/Gain1,Gain,,ZOrder,361
ROS2_simulink_UE5_0821/Subsystem/Vessel Platform/Input Processing/Added Mass (Hydrodynamics)/Gain1,Gain,,Gain,-1
ROS2_simulink_UE5_0821/Subsystem/Vessel Platform/Input Processing/Added Mass (Hydrodynamics)/Gain2,Gain,Block,BlockType,Gain
ROS2_simulink_UE5_0821/Subsystem/Vessel Platform/Input Processing/Added Mass (Hydrodynamics)/Gain2,Gain,,Position,"[5, 50, 50, 80]"
ROS2_simulink_UE5_0821/Subsystem/Vessel Platform/Input Processing/Added Mass (Hydrodynamics)/Gain2,Gain,,ZOrder,363
ROS2_simulink_UE5_0821/Subsystem/Vessel Platform/Input Processing/Added Mass (Hydrodynamics)/Gain2,Gain,,Gain,-1.5
ROS2_simulink_UE5_0821/Subsystem/Vessel Platform/Input Processing/Added Mass (Hydrodynamics)/Gain2,Gain,PortProperties/Port[out:1],Name,Yvdot
ROS2_simulink_UE5_0821/Subsystem/Vessel Platform/Input Processing/Added Mass (Hydrodynamics)/Gain3,Gain,Block,BlockType,Gain
ROS2_simulink_UE5_0821/Subsystem/Vessel Platform/Input Processing/Added Mass (Hydrodynamics)/Gain3,Gain,,Position,"[5, 90, 50, 120]"
ROS2_simulink_UE5_0821/Subsystem/Vessel Platform/Input Processing/Added Mass (Hydrodynamics)/Gain3,Gain,,ZOrder,364
ROS2_simulink_UE5_0821/Subsystem/Vessel Platform/Input Processing/Added Mass (Hydrodynamics)/Gain3,Gain,,Gain,-1
ROS2_simulink_UE5_0821/Subsystem/Vessel Platform/Input Processing/Added Mass (Hydrodynamics)/Gain3,Gain,PortProperties/Port[out:1],Name,Zwdot
ROS2_simulink_UE5_0821/Subsystem/Vessel Platform/Input Processing/Added Mass (Hydrodynamics)/Gain4,Gain,Block,BlockType,Gain
ROS2_simulink_UE5_0821/Subsystem/Vessel Platform/Input Processing/Added Mass (Hydrodynamics)/Gain4,Gain,,Position,"[5, 130, 50, 160]"
ROS2_simulink_UE5_0821/Subsystem/Vessel Platform/Input Processing/Added Mass (Hydrodynamics)/Gain4,Gain,,ZOrder,365
ROS2_simulink_UE5_0821/Subsystem/Vessel Platform/Input Processing/Added Mass (Hydrodynamics)/Gain4,Gain,,Gain,-0.2
ROS2_simulink_UE5_0821/Subsystem/Vessel Platform/Input Processing/Added Mass (Hydrodynamics)/Gain4,Gain,PortProperties/Port[out:1],Name,Kpdot
ROS2_simulink_UE5_0821/Subsystem/Vessel Platform/Input Processing/Added Mass (Hydrodynamics)/Gain5,Gain,Block,BlockType,Gain
ROS2_simulink_UE5_0821/Subsystem/Vessel Platform/Input Processing/Added Mass (Hydrodynamics)/Gain5,Gain,,Position,"[5, 170, 50, 200]"
ROS2_simulink_UE5_0821/Subsystem/Vessel Platform/Input Processing/Added Mass (Hydrodynamics)/Gain5,Gain,,ZOrder,366
ROS2_simulink_UE5_0821/Subsystem/Vessel Platform/Input Processing/Added Mass (Hydrodynamics)/Gain5,Gain,,Gain,-0.8
ROS2_simulink_UE5_0821/Subsystem/Vessel Platform/Input Processing/Added Mass (Hydrodynamics)/Gain5,Gain,PortProperties/Port[out:1],Name,Mqdot
ROS2_simulink_UE5_0821/Subsystem/Vessel Platform/Input Processing/Added Mass (Hydrodynamics)/Gain6,Gain,Block,BlockType,Gain
ROS2_simulink_UE5_0821/Subsystem/Vessel Platform/Input Processing/Added Mass (Hydrodynamics)/Gain6,Gain,,Position,"[5, 210, 50, 240]"
ROS2_simulink_UE5_0821/Subsystem/Vessel Platform/Input Processing/Added Mass (Hydrodynamics)/Gain6,Gain,,ZOrder,367
ROS2_simulink_UE5_0821/Subsystem/Vessel Platform/Input Processing/Added Mass (Hydrodynamics)/Gain6,Gain,,Gain,-1.7
ROS2_simulink_UE5_0821/Subsystem/Vessel Platform/Input Processing/Added Mass (Hydrodynamics)/Gain6,Gain,PortProperties/Port[out:1],Name,Nrdot
ROS2_simulink_UE5_0821/Subsystem/Vessel Platform/Input Processing/Added Mass (Hydrodynamics)/Mux,Mux,Block,BlockType,Mux
ROS2_simulink_UE5_0821/Subsystem/Vessel Platform/Input Processing/Added Mass (Hydrodynamics)/Mux,Mux,,Position,"[100, 8, 105, 242]"
ROS2_simulink_UE5_0821/Subsystem/Vessel Platform/Input Processing/Added Mass (Hydrodynamics)/Mux,Mux,,ZOrder,362
ROS2_simulink_UE5_0821/Subsystem/Vessel Platform/Input Processing/Added Mass (Hydrodynamics)/Mux,Mux,,Inputs,6
ROS2_simulink_UE5_0821/Subsystem/Vessel Platform/Input Processing/Added Mass (Hydrodynamics)/Mux,Mux,,DisplayOption,bar
ROS2_simulink_UE5_0821/Subsystem/Vessel Platform/Input Processing/Added Mass (Hydrodynamics)/Selector,Selector,Block,BlockType,Selector
ROS2_simulink_UE5_0821/Subsystem/Vessel Platform/Input Processing/Added Mass (Hydrodynamics)/Selector,Selector,,Position,"[-55, 136, -15, 154]"
ROS2_simulink_UE5_0821/Subsystem/Vessel Platform/Input Processing/Added Mass (Hydrodynamics)/Selector,Selector,,ZOrder,368
ROS2_simulink_UE5_0821/Subsystem/Vessel Platform/Input Processing/Added Mass (Hydrodynamics)/Selector,Selector,,NumberOfDimensions,2
ROS2_simulink_UE5_0821/Subsystem/Vessel Platform/Input Processing/Added Mass (Hydrodynamics)/Selector,Selector,,InputPortWidth,3
ROS2_simulink_UE5_0821/Subsystem/Vessel Platform/Input Processing/Added Mass (Hydrodynamics)/Selector,Selector,,IndexOptions,"Index vector (dialog),Index vector (dialog)"
ROS2_simulink_UE5_0821/Subsystem/Vessel Platform/Input Processing/Added Mass (Hydrodynamics)/Selector,Selector,,Indices,"1,1"
ROS2_simulink_UE5_0821/Subsystem/Vessel Platform/Input Processing/Added Mass (Hydrodynamics)/Selector,Selector,,OutputSizes,"1,1"
ROS2_simulink_UE5_0821/Subsystem/Vessel Platform/Input Processing/Added Mass (Hydrodynamics)/Selector1,Selector,Block,BlockType,Selector
ROS2_simulink_UE5_0821/Subsystem/Vessel Platform/Input Processing/Added Mass (Hydrodynamics)/Selector1,Selector,,Position,"[-55, 176, -15, 194]"
ROS2_simulink_UE5_0821/Subsystem/Vessel Platform/Input Processing/Added Mass (Hydrodynamics)/Selector1,Selector,,ZOrder,369
ROS2_simulink_UE5_0821/Subsystem/Vessel Platform/Input Processing/Added Mass (Hydrodynamics)/Selector1,Selector,,NumberOfDimensions,2
ROS2_simulink_UE5_0821/Subsystem/Vessel Platform/Input Processing/Added Mass (Hydrodynamics)/Selector1,Selector,,InputPortWidth,3
ROS2_simulink_UE5_0821/Subsystem/Vessel Platform/Input Processing/Added Mass (Hydrodynamics)/Selector1,Selector,,IndexOptions,"Index vector (dialog),Index vector (dialog)"
ROS2_simulink_UE5_0821/Subsystem/Vessel Platform/Input Processing/Added Mass (Hydrodynamics)/Selector1,Selector,,Indices,"2,2"
ROS2_simulink_UE5_0821/Subsystem/Vessel Platform/Input Processing/Added Mass (Hydrodynamics)/Selector1,Selector,,OutputSizes,"1,1"
ROS2_simulink_UE5_0821/Subsystem/Vessel Platform/Input Processing/Added Mass (Hydrodynamics)/Selector2,Selector,Block,BlockType,Selector
ROS2_simulink_UE5_0821/Subsystem/Vessel Platform/Input Processing/Added Mass (Hydrodynamics)/Selector2,Selector,,Position,"[-55, 216, -15, 234]"
ROS2_simulink_UE5_0821/Subsystem/Vessel Platform/Input Processing/Added Mass (Hydrodynamics)/Selector2,Selector,,ZOrder,370
ROS2_simulink_UE5_0821/Subsystem/Vessel Platform/Input Processing/Added Mass (Hydrodynamics)/Selector2,Selector,,NumberOfDimensions,2
ROS2_simulink_UE5_0821/Subsystem/Vessel Platform/Input Processing/Added Mass (Hydrodynamics)/Selector2,Selector,,InputPortWidth,3
ROS2_simulink_UE5_0821/Subsystem/Vessel Platform/Input Processing/Added Mass (Hydrodynamics)/Selector2,Selector,,IndexOptions,"Index vector (dialog),Index vector (dialog)"
ROS2_simulink_UE5_0821/Subsystem/Vessel Platform/Input Processing/Added Mass (Hydrodynamics)/Selector2,Selector,,Indices,"3,3"
ROS2_simulink_UE5_0821/Subsystem/Vessel Platform/Input Processing/Added Mass (Hydrodynamics)/Selector2,Selector,,OutputSizes,"1,1"
ROS2_simulink_UE5_0821/Subsystem/Vessel Platform/Input Processing/Added Mass (Hydrodynamics)/mass (kg),Constant,Block,BlockType,Constant
ROS2_simulink_UE5_0821/Subsystem/Vessel Platform/Input Processing/Added Mass (Hydrodynamics)/mass (kg),Constant,,Position,"[-105, 17, -60, 33]"
ROS2_simulink_UE5_0821/Subsystem/Vessel Platform/Input Processing/Added Mass (Hydrodynamics)/mass (kg),Constant,,ZOrder,10
ROS2_simulink_UE5_0821/Subsystem/Vessel Platform/Input Processing/Added Mass (Hydrodynamics)/mass (kg),Constant,,Value,m
ROS2_simulink_UE5_0821/Subsystem/Vessel Platform/Input Processing/Added Mass (Hydrodynamics)/Added Mass (Hydrodynamcis),Outport,Block,BlockType,Outport
ROS2_simulink_UE5_0821/Subsystem/Vessel Platform/Input Processing/Added Mass (Hydrodynamics)/Added Mass (Hydrodynamcis),Outport,,Position,"[350, 118, 380, 132]"
ROS2_simulink_UE5_0821/Subsystem/Vessel Platform/Input Processing/Added Mass (Hydrodynamics)/Added Mass (Hydrodynamcis),Outport,,ZOrder,-2
ROS2_simulink_UE5_0821/Subsystem/Vessel Platform/Input Processing/Bus Creator,BusCreator,Block,BlockType,BusCreator
ROS2_simulink_UE5_0821/Subsystem/Vessel Platform/Input Processing/Bus Creator,BusCreator,,Position,"[965, 496, 970, 669]"
ROS2_simulink_UE5_0821/Subsystem/Vessel Platform/Input Processing/Bus Creator,BusCreator,,ZOrder,431
ROS2_simulink_UE5_0821/Subsystem/Vessel Platform/Input Processing/Bus Creator,BusCreator,,Inputs,4
ROS2_simulink_UE5_0821/Subsystem/Vessel Platform/Input Processing/Bus Creator,BusCreator,,DisplayOption,bar
ROS2_simulink_UE5_0821/Subsystem/Vessel Platform/Input Processing/Bus Creator,BusCreator,,InheritFromInputs,on
ROS2_simulink_UE5_0821/Subsystem/Vessel Platform/Input Processing/CG corrected for payload,SubSystem,Block,BlockType,SubSystem
ROS2_simulink_UE5_0821/Subsystem/Vessel Platform/Input Processing/CG corrected for payload,SubSystem,,Position,"[470, 212, 665, 288]"
ROS2_simulink_UE5_0821/Subsystem/Vessel Platform/Input Processing/CG corrected for payload,SubSystem,,ZOrder,556
ROS2_simulink_UE5_0821/Subsystem/Vessel Platform/Input Processing/CG corrected for payload,SubSystem,,ContentPreviewEnabled,on
ROS2_simulink_UE5_0821/Subsystem/Vessel Platform/Input Processing/CG corrected for payload,SubSystem,PortProperties/Port[out:1],Name,rg
ROS2_simulink_UE5_0821/Subsystem/Vessel Platform/Input Processing/CG corrected for payload/mp,Inport,Block,BlockType,Inport
ROS2_simulink_UE5_0821/Subsystem/Vessel Platform/Input Processing/CG corrected for payload/mp,Inport,,Position,"[20, 108, 50, 122]"
ROS2_simulink_UE5_0821/Subsystem/Vessel Platform/Input Processing/CG corrected for payload/mp,Inport,,ZOrder,18
ROS2_simulink_UE5_0821/Subsystem/Vessel Platform/Input Processing/CG corrected for payload/mp,Inport,PortProperties/Port[out:1],PropagatedSignals,mp
ROS2_simulink_UE5_0821/Subsystem/Vessel Platform/Input Processing/CG corrected for payload/rp,Inport,Block,BlockType,Inport
ROS2_simulink_UE5_0821/Subsystem/Vessel Platform/Input Processing/CG corrected for payload/rp,Inport,,Position,"[20, 138, 50, 152]"
ROS2_simulink_UE5_0821/Subsystem/Vessel Platform/Input Processing/CG corrected for payload/rp,Inport,,ZOrder,19
ROS2_simulink_UE5_0821/Subsystem/Vessel Platform/Input Processing/CG corrected for payload/rp,Inport,,Port,2
ROS2_simulink_UE5_0821/Subsystem/Vessel Platform/Input Processing/CG corrected for payload/rp,Inport,PortProperties/Port[out:1],PropagatedSignals,rp
ROS2_simulink_UE5_0821/Subsystem/Vessel Platform/Input Processing/CG corrected for payload/Add1,Sum,Block,BlockType,Sum
ROS2_simulink_UE5_0821/Subsystem/Vessel Platform/Input Processing/CG corrected for payload/Add1,Sum,,Position,"[250, 37, 270, 113]"
ROS2_simulink_UE5_0821/Subsystem/Vessel Platform/Input Processing/CG corrected for payload/Add1,Sum,,ZOrder,11
ROS2_simulink_UE5_0821/Subsystem/Vessel Platform/Input Processing/CG corrected for payload/Add1,Sum,,IconShape,rectangular
ROS2_simulink_UE5_0821/Subsystem/Vessel Platform/Input Processing/CG corrected for payload/Add2,Sum,Block,BlockType,Sum
ROS2_simulink_UE5_0821/Subsystem/Vessel Platform/Input Processing/CG corrected for payload/Add2,Sum,,Position,"[320, 112, 340, 188]"
ROS2_simulink_UE5_0821/Subsystem/Vessel Platform/Input Processing/CG corrected for payload/Add2,Sum,,ZOrder,16
ROS2_simulink_UE5_0821/Subsystem/Vessel Platform/Input Processing/CG corrected for payload/Add2,Sum,,IconShape,rectangular
ROS2_simulink_UE5_0821/Subsystem/Vessel Platform/Input Processing/CG corrected for payload/CG hull only (m),Constant,Block,BlockType,Constant
ROS2_simulink_UE5_0821/Subsystem/Vessel Platform/Input Processing/CG corrected for payload/CG hull only (m),Constant,,Position,"[100, 62, 145, 78]"
ROS2_simulink_UE5_0821/Subsystem/Vessel Platform/Input Processing/CG corrected for payload/CG hull only (m),Constant,,ZOrder,14
ROS2_simulink_UE5_0821/Subsystem/Vessel Platform/Input Processing/CG corrected for payload/CG hull only (m),Constant,,Value,rg
ROS2_simulink_UE5_0821/Subsystem/Vessel Platform/Input Processing/CG corrected for payload/Divide1,Product,Block,BlockType,Product
ROS2_simulink_UE5_0821/Subsystem/Vessel Platform/Input Processing/CG corrected for payload/Divide1,Product,,Position,"[375, 62, 395, 113]"
ROS2_simulink_UE5_0821/Subsystem/Vessel Platform/Input Processing/CG corrected for payload/Divide1,Product,,ZOrder,15
ROS2_simulink_UE5_0821/Subsystem/Vessel Platform/Input Processing/CG corrected for payload/Divide1,Product,,Inputs,*/
ROS2_simulink_UE5_0821/Subsystem/Vessel Platform/Input Processing/CG corrected for payload/Divide1,Product,PortProperties/Port[out:1],Name,rg
ROS2_simulink_UE5_0821/Subsystem/Vessel Platform/Input Processing/CG corrected for payload/Product,Product,Block,BlockType,Product
ROS2_simulink_UE5_0821/Subsystem/Vessel Platform/Input Processing/CG corrected for payload/Product,Product,,Position,"[180, 24, 200, 86]"
ROS2_simulink_UE5_0821/Subsystem/Vessel Platform/Input Processing/CG corrected for payload/Product,Product,,ZOrder,10
ROS2_simulink_UE5_0821/Subsystem/Vessel Platform/Input Processing/CG corrected for payload/Product1,Product,Block,BlockType,Product
ROS2_simulink_UE5_0821/Subsystem/Vessel Platform/Input Processing/CG corrected for payload/Product1,Product,,Position,"[180, 99, 200, 161]"
ROS2_simulink_UE5_0821/Subsystem/Vessel Platform/Input Processing/CG corrected for payload/Product1,Product,,ZOrder,13
ROS2_simulink_UE5_0821/Subsystem/Vessel Platform/Input Processing/CG corrected for payload/mass (kg),Constant,Block,BlockType,Constant
ROS2_simulink_UE5_0821/Subsystem/Vessel Platform/Input Processing/CG corrected for payload/mass (kg),Constant,,Position,"[100, 32, 145, 48]"
ROS2_simulink_UE5_0821/Subsystem/Vessel Platform/Input Processing/CG corrected for payload/mass (kg),Constant,,ZOrder,9
ROS2_simulink_UE5_0821/Subsystem/Vessel Platform/Input Processing/CG corrected for payload/mass (kg),Constant,,Value,m
ROS2_simulink_UE5_0821/Subsystem/Vessel Platform/Input Processing/CG corrected for payload/CG corrected for payload (m),Outport,Block,BlockType,Outport
ROS2_simulink_UE5_0821/Subsystem/Vessel Platform/Input Processing/CG corrected for payload/CG corrected for payload (m),Outport,,Position,"[510, 83, 540, 97]"
ROS2_simulink_UE5_0821/Subsystem/Vessel Platform/Input Processing/CG corrected for payload/CG corrected for payload (m),Outport,,ZOrder,20
ROS2_simulink_UE5_0821/Subsystem/Vessel Platform/Input Processing/Constant3,Constant,Block,BlockType,Constant
ROS2_simulink_UE5_0821/Subsystem/Vessel Platform/Input Processing/Constant3,Constant,,Position,"[315, 825, 380, 845]"
ROS2_simulink_UE5_0821/Subsystem/Vessel Platform/Input Processing/Constant3,Constant,,ZOrder,477
ROS2_simulink_UE5_0821/Subsystem/Vessel Platform/Input Processing/Constant3,Constant,,Value,LCF
