
SourceBlockPath,SourcePortType,SourcePortIndex,DestBlockPath,DestPortType,DestPortIndex
ROS2_simulink_UE5_0821/Subsystem/Vessel Platform/Input Processing/Added Mass (Hydrodynamics)/Gain6,out,1,ROS2_simulink_UE5_0821/Subsystem/Vessel Platform/Input Processing/Added Mass (Hydrodynamics)/Mux,in,6
ROS2_simulink_UE5_0821/Subsystem/Vessel Platform/Input Processing/Added Mass (Hydrodynamics)/Inertial Matrix (hull and payload) in CO,out,1,ROS2_simulink_UE5_0821/Subsystem/Vessel Platform/Input Processing/Added Mass (Hydrodynamics)/Selector2,in,1
ROS2_simulink_UE5_0821/Subsystem/Vessel Platform/Input Processing/Added Mass (Hydrodynamics)/Inertial Matrix (hull and payload) in CO,out,1,ROS2_simulink_UE5_0821/Subsystem/Vessel Platform/Input Processing/Added Mass (Hydrodynamics)/Selector1,in,1
ROS2_simulink_UE5_0821/Subsystem/Vessel Platform/Input Processing/Added Mass (Hydrodynamics)/Inertial Matrix (hull and payload) in CO,out,1,ROS2_simulink_UE5_0821/Subsystem/Vessel Platform/Input Processing/Added Mass (Hydrodynamics)/Selector,in,1
ROS2_simulink_UE5_0821/Subsystem/Vessel Platform/Input Processing/Added Mass (Hydrodynamics)/Selector,out,1,ROS2_simulink_UE5_0821/Subsystem/Vessel Platform/Input Processing/Added Mass (Hydrodynamics)/Gain4,in,1
ROS2_simulink_UE5_0821/Subsystem/Vessel Platform/Input Processing/Added Mass (Hydrodynamics)/Selector1,out,1,ROS2_simulink_UE5_0821/Subsystem/Vessel Platform/Input Processing/Added Mass (Hydrodynamics)/Gain5,in,1
ROS2_simulink_UE5_0821/Subsystem/Vessel Platform/Input Processing/Added Mass (Hydrodynamics)/Selector2,out,1,ROS2_simulink_UE5_0821/Subsystem/Vessel Platform/Input Processing/Added Mass (Hydrodynamics)/Gain6,in,1
ROS2_simulink_UE5_0821/Subsystem/Vessel Platform/Input Processing/CG corrected for payload/Add2,out,1,ROS2_simulink_UE5_0821/Subsystem/Vessel Platform/Input Processing/CG corrected for payload/Divide1,in,2
ROS2_simulink_UE5_0821/Subsystem/Vessel Platform/Input Processing/CG corrected for payload/mass (kg),out,1,ROS2_simulink_UE5_0821/Subsystem/Vessel Platform/Input Processing/CG corrected for payload/Add2,in,1
ROS2_simulink_UE5_0821/Subsystem/Vessel Platform/Input Processing/CG corrected for payload/mass (kg),out,1,ROS2_simulink_UE5_0821/Subsystem/Vessel Platform/Input Processing/CG corrected for payload/Product,in,1
ROS2_simulink_UE5_0821/Subsystem/Vessel Platform/Input Processing/CG corrected for payload/mp,out,1,ROS2_simulink_UE5_0821/Subsystem/Vessel Platform/Input Processing/CG corrected for payload/Add2,in,2
ROS2_simulink_UE5_0821/Subsystem/Vessel Platform/Input Processing/CG corrected for payload/mp,out,1,ROS2_simulink_UE5_0821/Subsystem/Vessel Platform/Input Processing/CG corrected for payload/Product1,in,1
ROS2_simulink_UE5_0821/Subsystem/Vessel Platform/Input Processing/CG corrected for payload/CG hull only (m),out,1,ROS2_simulink_UE5_0821/Subsystem/Vessel Platform/Input Processing/CG corrected for payload/Product,in,2
ROS2_simulink_UE5_0821/Subsystem/Vessel Platform/Input Processing/CG corrected for payload/Product,out,1,ROS2_simulink_UE5_0821/Subsystem/Vessel Platform/Input Processing/CG corrected for payload/Add1,in,1
ROS2_simulink_UE5_0821/Subsystem/Vessel Platform/Input Processing/CG corrected for payload/Product1,out,1,ROS2_simulink_UE5_0821/Subsystem/Vessel Platform/Input Processing/CG corrected for payload/Add1,in,2
ROS2_simulink_UE5_0821/Subsystem/Vessel Platform/Input Processing/CG corrected for payload/Add1,out,1,ROS2_simulink_UE5_0821/Subsystem/Vessel Platform/Input Processing/CG corrected for payload/Divide1,in,1
ROS2_simulink_UE5_0821/Subsystem/Vessel Platform/Input Processing/CG corrected for payload/rp,out,1,ROS2_simulink_UE5_0821/Subsystem/Vessel Platform/Input Processing/CG corrected for payload/Product1,in,2
ROS2_simulink_UE5_0821/Subsystem/Vessel Platform/Input Processing/CG corrected for payload/Divide1,out,1,ROS2_simulink_UE5_0821/Subsystem/Vessel Platform/Input Processing/CG corrected for payload/CG corrected for payload (m),in,1
ROS2_simulink_UE5_0821/Subsystem/Vessel Platform/Input Processing/Draft (m)/length (m),out,1,ROS2_simulink_UE5_0821/Subsystem/Vessel Platform/Input Processing/Draft (m)/Divide7,in,5
ROS2_simulink_UE5_0821/Subsystem/Vessel Platform/Input Processing/Draft (m)/beam pontoon (m),out,1,ROS2_simulink_UE5_0821/Subsystem/Vessel Platform/Input Processing/Draft (m)/Divide7,in,4
ROS2_simulink_UE5_0821/Subsystem/Vessel Platform/Input Processing/Draft (m)/Constant6,out,1,ROS2_simulink_UE5_0821/Subsystem/Vessel Platform/Input Processing/Draft (m)/Divide7,in,2
ROS2_simulink_UE5_0821/Subsystem/Vessel Platform/Input Processing/Draft (m)/Divide7,out,1,ROS2_simulink_UE5_0821/Subsystem/Vessel Platform/Input Processing/Draft (m)/T,in,1
ROS2_simulink_UE5_0821/Subsystem/Vessel Platform/Input Processing/Draft (m)/block coefficient,out,1,ROS2_simulink_UE5_0821/Subsystem/Vessel Platform/Input Processing/Draft (m)/Divide7,in,3
ROS2_simulink_UE5_0821/Subsystem/Vessel Platform/Input Processing/Draft (m)/nabla,out,1,ROS2_simulink_UE5_0821/Subsystem/Vessel Platform/Input Processing/Draft (m)/Divide7,in,1
ROS2_simulink_UE5_0821/Subsystem/Vessel Platform/Input Processing/GM/Divide6,out,1,ROS2_simulink_UE5_0821/Subsystem/Vessel Platform/Input Processing/GM/Sum1,in,2
ROS2_simulink_UE5_0821/Subsystem/Vessel Platform/Input Processing/GM/Sum3,out,1,ROS2_simulink_UE5_0821/Subsystem/Vessel Platform/Input Processing/GM/Sum5,in,2
ROS2_simulink_UE5_0821/Subsystem/Vessel Platform/Input Processing/GM/Sum3,out,1,ROS2_simulink_UE5_0821/Subsystem/Vessel Platform/Input Processing/GM/Sum4,in,2
ROS2_simulink_UE5_0821/Subsystem/Vessel Platform/Input Processing/GM/Gain7,out,1,ROS2_simulink_UE5_0821/Subsystem/Vessel Platform/Input Processing/GM/Sum,in,1
ROS2_simulink_UE5_0821/Subsystem/Vessel Platform/Input Processing/GM/Gain6,out,1,ROS2_simulink_UE5_0821/Subsystem/Vessel Platform/Input Processing/GM/Divide5,in,1
ROS2_simulink_UE5_0821/Subsystem/Vessel Platform/Input Processing/GM/Gain5,out,1,ROS2_simulink_UE5_0821/Subsystem/Vessel Platform/Input Processing/GM/Sum2,in,1
ROS2_simulink_UE5_0821/Subsystem/Vessel Platform/Input Processing/GM/Gain5,out,1,ROS2_simulink_UE5_0821/Subsystem/Vessel Platform/Input Processing/GM/Sum1,in,1
ROS2_simulink_UE5_0821/Subsystem/Vessel Platform/Input Processing/GM/T,out,1,ROS2_simulink_UE5_0821/Subsystem/Vessel Platform/Input Processing/GM/Gain7,in,1
ROS2_simulink_UE5_0821/Subsystem/Vessel Platform/Input Processing/GM/T,out,1,ROS2_simulink_UE5_0821/Subsystem/Vessel Platform/Input Processing/GM/Sum3,in,1
ROS2_simulink_UE5_0821/Subsystem/Vessel Platform/Input Processing/GM/Constant8,out,1,ROS2_simulink_UE5_0821/Subsystem/Vessel Platform/Input Processing/GM/Divide8,in,1
ROS2_simulink_UE5_0821/Subsystem/Vessel Platform/Input Processing/GM/beam pontoon (m),out,1,ROS2_simulink_UE5_0821/Subsystem/Vessel Platform/Input Processing/GM/Divide5,in,3
ROS2_simulink_UE5_0821/Subsystem/Vessel Platform/Input Processing/GM/nabla,out,1,ROS2_simulink_UE5_0821/Subsystem/Vessel Platform/Input Processing/GM/Divide8,in,2
ROS2_simulink_UE5_0821/Subsystem/Vessel Platform/Input Processing/GM/nabla,out,1,ROS2_simulink_UE5_0821/Subsystem/Vessel Platform/Input Processing/GM/Divide6,in,2
ROS2_simulink_UE5_0821/Subsystem/Vessel Platform/Input Processing/GM/nabla,out,1,ROS2_simulink_UE5_0821/Subsystem/Vessel Platform/Input Processing/GM/Gain6,in,1
ROS2_simulink_UE5_0821/Subsystem/Vessel Platform/Input Processing/GM/length (m),out,1,ROS2_simulink_UE5_0821/Subsystem/Vessel Platform/Input Processing/GM/Divide5,in,2
ROS2_simulink_UE5_0821/Subsystem/Vessel Platform/Input Processing/GM/Sum,out,1,ROS2_simulink_UE5_0821/Subsystem/Vessel Platform/Input Processing/GM/Gain5,in,1
ROS2_simulink_UE5_0821/Subsystem/Vessel Platform/Input Processing/GM/Constant7,out,1,ROS2_simulink_UE5_0821/Subsystem/Vessel Platform/Input Processing/GM/Divide6,in,1
ROS2_simulink_UE5_0821/Subsystem/Vessel Platform/Input Processing/GM/Divide5,out,1,ROS2_simulink_UE5_0821/Subsystem/Vessel Platform/Input Processing/GM/Sum,in,2
ROS2_simulink_UE5_0821/Subsystem/Vessel Platform/Input Processing/GM/Divide8,out,1,ROS2_simulink_UE5_0821/Subsystem/Vessel Platform/Input Processing/GM/Sum2,in,2
ROS2_simulink_UE5_0821/Subsystem/Vessel Platform/Input Processing/GM/Selector3,out,1,ROS2_simulink_UE5_0821/Subsystem/Vessel Platform/Input Processing/GM/Sum3,in,2
ROS2_simulink_UE5_0821/Subsystem/Vessel Platform/Input Processing/GM/Sum2,out,1,ROS2_simulink_UE5_0821/Subsystem/Vessel Platform/Input Processing/GM/Sum5,in,1
ROS2_simulink_UE5_0821/Subsystem/Vessel Platform/Input Processing/GM/Sum1,out,1,ROS2_simulink_UE5_0821/Subsystem/Vessel Platform/Input Processing/GM/Sum4,in,1
ROS2_simulink_UE5_0821/Subsystem/Vessel Platform/Input Processing/GM/Sum5,out,1,ROS2_simulink_UE5_0821/Subsystem/Vessel Platform/Input Processing/GM/GM_L,in,1
ROS2_simulink_UE5_0821/Subsystem/Vessel Platform/Input Processing/GM/Sum4,out,1,ROS2_simulink_UE5_0821/Subsystem/Vessel Platform/Input Processing/GM/GM_T,in,1
ROS2_simulink_UE5_0821/Subsystem/Vessel Platform/Input Processing/GM/rg,out,1,ROS2_simulink_UE5_0821/Subsystem/Vessel Platform/Input Processing/GM/Selector3,in,1
ROS2_simulink_UE5_0821/Subsystem/Vessel Platform/Input Processing/G_CF (spring stiffness matrix in the CF)/Gain2,out,1,ROS2_simulink_UE5_0821/Subsystem/Vessel Platform/Input Processing/G_CF (spring stiffness matrix in the CF)/G33,in,1
ROS2_simulink_UE5_0821/Subsystem/Vessel Platform/Input Processing/G_CF (spring stiffness matrix in the CF)/Gain2,out,1,ROS2_simulink_UE5_0821/Subsystem/Vessel Platform/Input Processing/G_CF (spring stiffness matrix in the CF)/Mux,in,3
ROS2_simulink_UE5_0821/Subsystem/Vessel Platform/Input Processing/G_CF (spring stiffness matrix in the CF)/Mux,out,1,ROS2_simulink_UE5_0821/Subsystem/Vessel Platform/Input Processing/G_CF (spring stiffness matrix in the CF)/Create Diagonal Matrix,in,1
ROS2_simulink_UE5_0821/Subsystem/Vessel Platform/Input Processing/G_CF (spring stiffness matrix in the CF)/Product7,out,1,ROS2_simulink_UE5_0821/Subsystem/Vessel Platform/Input Processing/G_CF (spring stiffness matrix in the CF)/Product9,in,1
ROS2_simulink_UE5_0821/Subsystem/Vessel Platform/Input Processing/G_CF (spring stiffness matrix in the CF)/Product7,out,1,ROS2_simulink_UE5_0821/Subsystem/Vessel Platform/Input Processing/G_CF (spring stiffness matrix in the CF)/Product10,in,1
ROS2_simulink_UE5_0821/Subsystem/Vessel Platform/Input Processing/G_CF (spring stiffness matrix in the CF)/Product10,out,1,ROS2_simulink_UE5_0821/Subsystem/Vessel Platform/Input Processing/G_CF (spring stiffness matrix in the CF)/G55,in,1
ROS2_simulink_UE5_0821/Subsystem/Vessel Platform/Input Processing/G_CF (spring stiffness matrix in the CF)/Product10,out,1,ROS2_simulink_UE5_0821/Subsystem/Vessel Platform/Input Processing/G_CF (spring stiffness matrix in the CF)/Mux,in,5
ROS2_simulink_UE5_0821/Subsystem/Vessel Platform/Input Processing/G_CF (spring stiffness matrix in the CF)/Product9,out,1,ROS2_simulink_UE5_0821/Subsystem/Vessel Platform/Input Processing/G_CF (spring stiffness matrix in the CF)/G44,in,1
ROS2_simulink_UE5_0821/Subsystem/Vessel Platform/Input Processing/G_CF (spring stiffness matrix in the CF)/Product9,out,1,ROS2_simulink_UE5_0821/Subsystem/Vessel Platform/Input Processing/G_CF (spring stiffness matrix in the CF)/Mux,in,4
ROS2_simulink_UE5_0821/Subsystem/Vessel Platform/Input Processing/G_CF (spring stiffness matrix in the CF)/GM_T,out,1,ROS2_simulink_UE5_0821/Subsystem/Vessel Platform/Input Processing/G_CF (spring stiffness matrix in the CF)/Product9,in,2
ROS2_simulink_UE5_0821/Subsystem/Vessel Platform/Input Processing/G_CF (spring stiffness matrix in the CF)/Constant,out,1,ROS2_simulink_UE5_0821/Subsystem/Vessel Platform/Input Processing/G_CF (spring stiffness matrix in the CF)/Mux,in,6
ROS2_simulink_UE5_0821/Subsystem/Vessel Platform/Input Processing/G_CF (spring stiffness matrix in the CF)/Constant,out,1,ROS2_simulink_UE5_0821/Subsystem/Vessel Platform/Input Processing/G_CF (spring stiffness matrix in the CF)/Mux,in,2
ROS2_simulink_UE5_0821/Subsystem/Vessel Platform/Input Processing/G_CF (spring stiffness matrix in the CF)/Constant,out,1,ROS2_simulink_UE5_0821/Subsystem/Vessel Platform/Input Processing/G_CF (spring stiffness matrix in the CF)/Mux,in,1
ROS2_simulink_UE5_0821/Subsystem/Vessel Platform/Input Processing/G_CF (spring stiffness matrix in the CF)/Product6,out,1,ROS2_simulink_UE5_0821/Subsystem/Vessel Platform/Input Processing/G_CF (spring stiffness matrix in the CF)/Product7,in,1
ROS2_simulink_UE5_0821/Subsystem/Vessel Platform/Input Processing/G_CF (spring stiffness matrix in the CF)/Product6,out,1,ROS2_simulink_UE5_0821/Subsystem/Vessel Platform/Input Processing/G_CF (spring stiffness matrix in the CF)/Gain2,in,1
ROS2_simulink_UE5_0821/Subsystem/Vessel Platform/Input Processing/G_CF (spring stiffness matrix in the CF)/GM_L,out,1,ROS2_simulink_UE5_0821/Subsystem/Vessel Platform/Input Processing/G_CF (spring stiffness matrix in the CF)/Product10,in,2
ROS2_simulink_UE5_0821/Subsystem/Vessel Platform/Input Processing/G_CF (spring stiffness matrix in the CF)/g,out,1,ROS2_simulink_UE5_0821/Subsystem/Vessel Platform/Input Processing/G_CF (spring stiffness matrix in the CF)/Product6,in,2
ROS2_simulink_UE5_0821/Subsystem/Vessel Platform/Input Processing/G_CF (spring stiffness matrix in the CF)/rho,out,1,ROS2_simulink_UE5_0821/Subsystem/Vessel Platform/Input Processing/G_CF (spring stiffness matrix in the CF)/Product6,in,1
ROS2_simulink_UE5_0821/Subsystem/Vessel Platform/Input Processing/G_CF (spring stiffness matrix in the CF)/nabla,out,1,ROS2_simulink_UE5_0821/Subsystem/Vessel Platform/Input Processing/G_CF (spring stiffness matrix in the CF)/Product7,in,2
ROS2_simulink_UE5_0821/Subsystem/Vessel Platform/Input Processing/G_CF (spring stiffness matrix in the CF)/Create Diagonal Matrix,out,1,ROS2_simulink_UE5_0821/Subsystem/Vessel Platform/Input Processing/G_CF (spring stiffness matrix in the CF)/G_CF,in,1
ROS2_simulink_UE5_0821/Subsystem/Vessel Platform/Input Processing/Inertial Matrix (hull and payload) in CO/Smtrx/Create 3x3 Matrix,out,1,ROS2_simulink_UE5_0821/Subsystem/Vessel Platform/Input Processing/Inertial Matrix (hull and payload) in CO/Smtrx/S,in,1
ROS2_simulink_UE5_0821/Subsystem/Vessel Platform/Input Processing/Inertial Matrix (hull and payload) in CO/Smtrx/Constant,out,1,ROS2_simulink_UE5_0821/Subsystem/Vessel Platform/Input Processing/Inertial Matrix (hull and payload) in CO/Smtrx/Create 3x3 Matrix,in,1
ROS2_simulink_UE5_0821/Subsystem/Vessel Platform/Input Processing/Inertial Matrix (hull and payload) in CO/Smtrx/a,out,1,ROS2_simulink_UE5_0821/Subsystem/Vessel Platform/Input Processing/Inertial Matrix (hull and payload) in CO/Smtrx/Gain,in,1
ROS2_simulink_UE5_0821/Subsystem/Vessel Platform/Input Processing/Inertial Matrix (hull and payload) in CO/Smtrx/a,out,1,ROS2_simulink_UE5_0821/Subsystem/Vessel Platform/Input Processing/Inertial Matrix (hull and payload) in CO/Smtrx/Demux,in,1
ROS2_simulink_UE5_0821/Subsystem/Vessel Platform/Input Processing/Inertial Matrix (hull and payload) in CO/Smtrx/Constant1,out,1,ROS2_simulink_UE5_0821/Subsystem/Vessel Platform/Input Processing/Inertial Matrix (hull and payload) in CO/Smtrx/Create 3x3 Matrix,in,5
ROS2_simulink_UE5_0821/Subsystem/Vessel Platform/Input Processing/Inertial Matrix (hull and payload) in CO/Smtrx/Constant2,out,1,ROS2_simulink_UE5_0821/Subsystem/Vessel Platform/Input Processing/Inertial Matrix (hull and payload) in CO/Smtrx/Create 3x3 Matrix,in,9
ROS2_simulink_UE5_0821/Subsystem/Vessel Platform/Input Processing/Inertial Matrix (hull and payload) in CO/Smtrx/Gain,out,1,ROS2_simulink_UE5_0821/Subsystem/Vessel Platform/Input Processing/Inertial Matrix (hull and payload) in CO/Smtrx/Demux1,in,1
ROS2_simulink_UE5_0821/Subsystem/Vessel Platform/Input Processing/Inertial Matrix (hull and payload) in CO/Smtrx/Demux1,out,3,ROS2_simulink_UE5_0821/Subsystem/Vessel Platform/Input Processing/Inertial Matrix (hull and payload) in CO/Smtrx/Create 3x3 Matrix,in,2
ROS2_simulink_UE5_0821/Subsystem/Vessel Platform/Input Processing/Inertial Matrix (hull and payload) in CO/Smtrx/Demux,out,2,ROS2_simulink_UE5_0821/Subsystem/Vessel Platform/Input Processing/Inertial Matrix (hull and payload) in CO/Smtrx/Create 3x3 Matrix,in,3
ROS2_simulink_UE5_0821/Subsystem/Vessel Platform/Input Processing/Inertial Matrix (hull and payload) in CO/Smtrx/Demux,out,3,ROS2_simulink_UE5_0821/Subsystem/Vessel Platform/Input Processing/Inertial Matrix (hull and payload) in CO/Smtrx/Create 3x3 Matrix,in,4
ROS2_simulink_UE5_0821/Subsystem/Vessel Platform/Input Processing/Inertial Matrix (hull and payload) in CO/Smtrx/Demux1,out,1,ROS2_simulink_UE5_0821/Subsystem/Vessel Platform/Input Processing/Inertial Matrix (hull and payload) in CO/Smtrx/Create 3x3 Matrix,in,6
ROS2_simulink_UE5_0821/Subsystem/Vessel Platform/Input Processing/Inertial Matrix (hull and payload) in CO/Smtrx/Demux1,out,2,ROS2_simulink_UE5_0821/Subsystem/Vessel Platform/Input Processing/Inertial Matrix (hull and payload) in CO/Smtrx/Create 3x3 Matrix,in,7
ROS2_simulink_UE5_0821/Subsystem/Vessel Platform/Input Processing/Inertial Matrix (hull and payload) in CO/Smtrx/Demux,out,1,ROS2_simulink_UE5_0821/Subsystem/Vessel Platform/Input Processing/Inertial Matrix (hull and payload) in CO/Smtrx/Create 3x3 Matrix,in,8
ROS2_simulink_UE5_0821/Subsystem/Vessel Platform/Input Processing/Inertial Matrix (hull and payload) in CO/Smtrx1/Create 3x3 Matrix,out,1,ROS2_simulink_UE5_0821/Subsystem/Vessel Platform/Input Processing/Inertial Matrix (hull and payload) in CO/Smtrx1/S,in,1
ROS2_simulink_UE5_0821/Subsystem/Vessel Platform/Input Processing/Inertial Matrix (hull and payload) in CO/Smtrx1/Constant,out,1,ROS2_simulink_UE5_0821/Subsystem/Vessel Platform/Input Processing/Inertial Matrix (hull and payload) in CO/Smtrx1/Create 3x3 Matrix,in,1
ROS2_simulink_UE5_0821/Subsystem/Vessel Platform/Input Processing/Inertial Matrix (hull and payload) in CO/Smtrx1/a,out,1,ROS2_simulink_UE5_0821/Subsystem/Vessel Platform/Input Processing/Inertial Matrix (hull and payload) in CO/Smtrx1/Gain,in,1
ROS2_simulink_UE5_0821/Subsystem/Vessel Platform/Input Processing/Inertial Matrix (hull and payload) in CO/Smtrx1/a,out,1,ROS2_simulink_UE5_0821/Subsystem/Vessel Platform/Input Processing/Inertial Matrix (hull and payload) in CO/Smtrx1/Demux,in,1
ROS2_simulink_UE5_0821/Subsystem/Vessel Platform/Input Processing/Inertial Matrix (hull and payload) in CO/Smtrx1/Constant1,out,1,ROS2_simulink_UE5_0821/Subsystem/Vessel Platform/Input Processing/Inertial Matrix (hull and payload) in CO/Smtrx1/Create 3x3 Matrix,in,5
ROS2_simulink_UE5_0821/Subsystem/Vessel Platform/Input Processing/Inertial Matrix (hull and payload) in CO/Smtrx1/Constant2,out,1,ROS2_simulink_UE5_0821/Subsystem/Vessel Platform/Input Processing/Inertial Matrix (hull and payload) in CO/Smtrx1/Create 3x3 Matrix,in,9
ROS2_simulink_UE5_0821/Subsystem/Vessel Platform/Input Processing/Inertial Matrix (hull and payload) in CO/Smtrx1/Gain,out,1,ROS2_simulink_UE5_0821/Subsystem/Vessel Platform/Input Processing/Inertial Matrix (hull and payload) in CO/Smtrx1/Demux1,in,1
ROS2_simulink_UE5_0821/Subsystem/Vessel Platform/Input Processing/Inertial Matrix (hull and payload) in CO/Smtrx1/Demux1,out,3,ROS2_simulink_UE5_0821/Subsystem/Vessel Platform/Input Processing/Inertial Matrix (hull and payload) in CO/Smtrx1/Create 3x3 Matrix,in,2
ROS2_simulink_UE5_0821/Subsystem/Vessel Platform/Input Processing/Inertial Matrix (hull and payload) in CO/Smtrx1/Demux,out,2,ROS2_simulink_UE5_0821/Subsystem/Vessel Platform/Input Processing/Inertial Matrix (hull and payload) in CO/Smtrx1/Create 3x3 Matrix,in,3
ROS2_simulink_UE5_0821/Subsystem/Vessel Platform/Input Processing/Inertial Matrix (hull and payload) in CO/Smtrx1/Demux,out,3,ROS2_simulink_UE5_0821/Subsystem/Vessel Platform/Input Processing/Inertial Matrix (hull and payload) in CO/Smtrx1/Create 3x3 Matrix,in,4
ROS2_simulink_UE5_0821/Subsystem/Vessel Platform/Input Processing/Inertial Matrix (hull and payload) in CO/Smtrx1/Demux1,out,1,ROS2_simulink_UE5_0821/Subsystem/Vessel Platform/Input Processing/Inertial Matrix (hull and payload) in CO/Smtrx1/Create 3x3 Matrix,in,6
ROS2_simulink_UE5_0821/Subsystem/Vessel Platform/Input Processing/Inertial Matrix (hull and payload) in CO/Smtrx1/Demux1,out,2,ROS2_simulink_UE5_0821/Subsystem/Vessel Platform/Input Processing/Inertial Matrix (hull and payload) in CO/Smtrx1/Create 3x3 Matrix,in,7
ROS2_simulink_UE5_0821/Subsystem/Vessel Platform/Input Processing/Inertial Matrix (hull and payload) in CO/Smtrx1/Demux,out,1,ROS2_simulink_UE5_0821/Subsystem/Vessel Platform/Input Processing/Inertial Matrix (hull and payload) in CO/Smtrx1/Create 3x3 Matrix,in,8
ROS2_simulink_UE5_0821/Subsystem/Vessel Platform/Input Processing/Inertial Matrix (hull and payload) in CO/CG hull only (m),out,1,ROS2_simulink_UE5_0821/Subsystem/Vessel Platform/Input Processing/Inertial Matrix (hull and payload) in CO/Smtrx,in,1
ROS2_simulink_UE5_0821/Subsystem/Vessel Platform/Input Processing/Inertial Matrix (hull and payload) in CO/Smtrx1,out,1,ROS2_simulink_UE5_0821/Subsystem/Vessel Platform/Input Processing/Inertial Matrix (hull and payload) in CO/Product3,in,2
ROS2_simulink_UE5_0821/Subsystem/Vessel Platform/Input Processing/Inertial Matrix (hull and payload) in CO/Smtrx1,out,1,ROS2_simulink_UE5_0821/Subsystem/Vessel Platform/Input Processing/Inertial Matrix (hull and payload) in CO/Product3,in,1
ROS2_simulink_UE5_0821/Subsystem/Vessel Platform/Input Processing/Inertial Matrix (hull and payload) in CO/mp,out,1,ROS2_simulink_UE5_0821/Subsystem/Vessel Platform/Input Processing/Inertial Matrix (hull and payload) in CO/Product11,in,2
ROS2_simulink_UE5_0821/Subsystem/Vessel Platform/Input Processing/Inertial Matrix (hull and payload) in CO/Gain,out,1,ROS2_simulink_UE5_0821/Subsystem/Vessel Platform/Input Processing/Inertial Matrix (hull and payload) in CO/Add3,in,2
ROS2_simulink_UE5_0821/Subsystem/Vessel Platform/Input Processing/Inertial Matrix (hull and payload) in CO/Smtrx,out,1,ROS2_simulink_UE5_0821/Subsystem/Vessel Platform/Input Processing/Inertial Matrix (hull and payload) in CO/Product2,in,2
ROS2_simulink_UE5_0821/Subsystem/Vessel Platform/Input Processing/Inertial Matrix (hull and payload) in CO/Smtrx,out,1,ROS2_simulink_UE5_0821/Subsystem/Vessel Platform/Input Processing/Inertial Matrix (hull and payload) in CO/Product2,in,1
ROS2_simulink_UE5_0821/Subsystem/Vessel Platform/Input Processing/Inertial Matrix (hull and payload) in CO/Product2,out,1,ROS2_simulink_UE5_0821/Subsystem/Vessel Platform/Input Processing/Inertial Matrix (hull and payload) in CO/Gain,in,1
